Full Name,Team,Position,Overall Avg FPT,Home Avg FPT,Away Avg FPT,FPT Std Dev,Floor Rate % (FPT<8),Ceiling Rate % (FPT>=20),Total Minutes,FPT per Minute,Games Played
Matthew Strazel,AS Monaco,G,11.77,16.2,7.54,8.37,37.21,13.95,1045.5,0.484,43
Thomas Heurtel,LDLC ASVEL Villeurbanne,G,9.68,9.76,9.57,8.37,33.33,4.17,472.4,0.492,24
Chima Moneke,Crvena Zvezda Meridianbet Belgrade,F,19.62,19.74,19.48,8.38,5.71,42.86,941.8,0.729,35
Willy Hernangomez,FC Barcelona,C,7.52,8.05,7.03,8.38,58.97,10.26,528,0.556,39
Bruno Caboclo,Dubai Basketball,F,7.63,4.73,11.1,8.39,54.55,9.09,140,0.599,11
Codi Miller-mcintyre,Crvena Zvezda Meridianbet Belgrade,G,15.92,17.58,14.34,8.4,12.82,30.77,1206.5,0.515,39
Aleksa Avramovic,Dubai Basketball,G,10.54,11.83,8.99,8.4,36.36,13.64,374.5,0.619,22
Jimmy Clark Iii,Maccabi Rapyd Tel Aviv,G,9.08,10.75,7.49,8.53,45.95,10.81,728.6,0.461,37
Tamir Blatt,Maccabi Rapyd Tel Aviv,G,9.38,9.85,8.91,8.55,55.26,10.53,737.3,0.483,38
Tomas Satoransky,FC Barcelona,G,11.69,15.33,8.24,8.57,32.43,13.51,921.7,0.469,37
Ebuka Izundu,Crvena Zvezda Meridianbet Belgrade,C,10.99,10.71,11.26,8.6,36.36,12.12,474.9,0.764,33
Trey Lyles,Real Madrid,F,16.09,14.95,17.23,8.65,16.67,35.71,890,0.759,42
Darius Thompson,Valencia Basket,G,10.55,9.23,12,8.65,43.18,18.18,828.6,0.56,44
Tornike Shengelia,FC Barcelona,F,16.33,15.18,17.49,8.67,14.71,20.59,848.2,0.655,34
Pj Dozier,Anadolu Efes Istanbul,G,7.38,6.67,8.1,8.69,50,7.69,570.5,0.337,26
Glynn Watson,LDLC ASVEL Villeurbanne,G,12.54,14.42,10.52,8.73,27.59,24.14,742.5,0.49,29
Tarik Biberovic,Fenerbahce Beko Istanbul,F,8.98,6.9,10.95,8.74,46.34,12.2,997.8,0.369,41
Isiaha Mike,FC Bayern Munich,F,9.71,10.16,9.28,8.74,48.65,10.81,828.2,0.434,37
Jordan Nwora,Crvena Zvezda Meridianbet Belgrade,F,16.84,17.87,15.93,8.75,20.59,35.29,922.4,0.621,34
Tj Shorts,Panathinaikos AKTOR Athens,G,8.41,8.65,8.18,8.75,60.47,16.28,692.6,0.522,43
Nigel Hayes-davis,Panathinaikos AKTOR Athens,F,13.59,12.87,14.31,8.78,31.25,18.75,456.8,0.476,16
Vasilije Micic,Hapoel IBI Tel Aviv,G,12.01,14.23,9.79,8.79,42.5,20,963.8,0.498,40
Nick Weiler-babb,Anadolu Efes Istanbul,G,11.28,13.27,9.18,8.86,40.54,18.92,1065.5,0.392,37
Dwayne Bacon,Dubai Basketball,F,14.72,18.92,11.32,8.88,24.14,34.48,852,0.501,29
Theo Maledon,Real Madrid,G,12.06,14.57,9.56,8.91,42.11,18.42,646.5,0.709,38
Sasha Vezenkov,Olympiacos Piraeus,F,23.79,24.67,22.65,8.97,5.13,64.1,1085.6,0.855,39
Dan Oturu,Hapoel IBI Tel Aviv,C,17.67,16.11,19.23,9.02,11.9,38.1,1003.5,0.74,42
Mario Hezonja,Real Madrid,F,13.29,14.24,12.43,9.06,31.82,25,994.9,0.588,44
Kenneth Faried,Panathinaikos AKTOR Athens,C,8.11,10.46,5.63,9.06,60,14.29,460.1,0.617,35
Carlik Jones,Partizan Mozzart Bet Belgrade,G,18.08,20.9,15.61,9.13,20,53.33,421,0.644,15
Filip Petrusev,Dubai Basketball,F,16.15,15.32,16.98,9.13,21.05,31.58,892.9,0.687,38
Leandro Bolmaro,EA7 Emporio Armani Milan,G,11.21,12.13,10.22,9.13,31.03,10.34,656.5,0.495,29
Nando De Colo,Fenerbahce Beko Istanbul,G,14.03,15.05,13.01,9.14,33.33,30,564.5,0.746,30
Armoni Brooks,EA7 Emporio Armani Milan,G,11.11,11.64,10.58,9.15,34.21,13.16,857.6,0.492,38
Nadir Hifi,Paris Basketball,G,18.41,18.46,18.35,9.17,13.51,40.54,824.9,0.826,37
Nigel Williams-goss,Zalgiris Kaunas,G,11.57,10.62,12.72,9.17,35.48,19.35,745.9,0.481,31
Lonnie Walker Iv,Maccabi Rapyd Tel Aviv,G,13.32,14.11,12.41,9.22,28.57,28.57,635.7,0.587,28
Facundo Campazzo,Real Madrid,G,15.37,16.18,14.63,9.24,22.73,22.73,1073.1,0.63,44
